Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Achanta,56,SATYANARAYANA PITHANI,Telugu Desam,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,26554,Result Declared
Addanki,105,GOTTIPATI RAVI KUMAR,Telugu Desam,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,24890,Result Declared
Adoni,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,18164,Result Declared
Allagadda,134,AKHILA PRIYA BHUMA,Telugu Desam,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,12037,Result Declared
Alur,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,B. VEERABHADRA GOWD,Telugu Desam,2831,Result Declared
Amadalavalasa,6,KOONA RAVI KUMAR,Telugu Desam,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,35032,Result Declared
Amalapuram,44,AITHABATHULA ANANDARAO,Telugu Desam,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,38628,Result Declared
Anakapalle,30,KONATHALA RAMAKRISHNA,Janasena Party,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,65764,Result Declared
Anantapur Urban,153,DAGGUPATI PRASAD,Telugu Desam,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,23023,Result Declared
Anaparthy,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,20850,Result Declared
Araku Valley,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,RAJARAO PANGI,Bharatiya Janata Party,31877,Result Declared
Atmakur,115,ANAM.RAMANARAYANA REDDY,Telugu Desam,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,7576,Result Declared
Avanigadda,76,BUDDHAPRASAD MANDALI,Janasena Party,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,46434,Result Declared
Badvel,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,BOJJA ROSHANNA,Bharatiya Janata Party,18567,Result Declared
Banaganapalle,140,B.C. JANARDHAN REDDY,Telugu Desam,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,25566,Result Declared
Bapatla,92,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,KONA RAGHUPATHI,Yuvajana Sramika Rythu Congress Party,27768,Result Declared
Bhimavaram,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,66974,Result Declared
Bhimili,20,GANTA SRINIVASA RAO,Telugu Desam,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,92401,Result Declared
Bobbili,14,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,VENKATA CHINA APPALA NAIDU SAMBANGI,Yuvajana Sramika Rythu Congress Party,44648,Result Declared
Chandragiri,166,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,CHEVIREDDY MOHITH REDDY,Yuvajana Sramika Rythu Congress Party,43852,Result Declared
Cheepurupalle,15,KALAVENKATARAO KIMIDI,Telugu Desam,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,11971,Result Declared
Chilakaluripet,96,PRATHIPATI PULLARAO,Telugu Desam,KAVATI SIVA NAGA MANOHAR NAIDU,Yuvajana Sramika Rythu Congress Party,33262,Result Declared
Chintalapudi,68,ROSHAN KUMAR SONGA,Telugu Desam,KAMBHAM VIJAYA RAJU,Yuvajana Sramika Rythu Congress Party,27766,Result Declared
Chirala,106,MADDULURI MALA KONDAIAH,Telugu Desam,KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,20984,Result Declared
Chittoor,172,GURAJALA JAGAN MOHAN (GJM),Telugu Desam,M.C. VIJAYANANDA REDDY,Yuvajana Sramika Rythu Congress Party,14604,Result Declared
Chodavaram,26,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desam,KARANAM DHARMASRI,Yuvajana Sramika Rythu Congress Party,42189,Result Declared
Darsi,103,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,GOTTIPATI LAKSHMI,Telugu Desam,2456,Result Declared
Denduluru,64,CHINTAMANENI PRABHAKAR,Telugu Desam,ABBAYA CHOWDARY KOTHARU,Yuvajana Sramika Rythu Congress Party,26266,Result Declared
Dharmavaram,160,SATYA KUMAR YADAV,Bharatiya Janata Party,KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party,3734,Result Declared
